	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	contrast
Mia2	117.475453464608	-0.0236392189486254	0.164431445757403	-0.143763371049489	0.885687328012022	0.981604214299908	C57BL6J_F1_Control-BALBcJ_F1_Control
Sugp2	277.988337489501	-0.0182650309212052	0.141573792390408	-0.129014209570915	0.897346405185178	0.982927037921073	C57BL6J_F1_Control-BALBcJ_F1_Control
1810034E14Rik	42.4097979539319	0.0730044700549501	0.271946857721797	0.268451235901516	0.788352005725153	0.966653689288546	C57BL6J_F1_Control-BALBcJ_F1_Control
Crat	101.539866648448	-0.00504969487784512	0.164678554723003	-0.0306639494519425	0.975537541803498	0.995372502945069	C57BL6J_F1_Control-BALBcJ_F1_Control
Atg4c	519.790290194807	-0.119198666746868	0.108716093061149	-1.09642154524282	0.272894339542159	0.576467206955154	C57BL6J_F1_Control-BALBcJ_F1_Control
Dand5	35.1201469867266	0.0118688772237003	0.285382913310332	0.0415893057016832	0.966826098680592	0.993633954786837	C57BL6J_F1_Control-BALBcJ_F1_Control
Desi1	91.0446260700024	-0.210597477574283	0.173907859267456	-1.21097159416126	0.225906291597741	0.516418904805281	C57BL6J_F1_Control-BALBcJ_F1_Control
Rhog	5212.35837027309	0.00474979560023425	0.0628129124906931	0.0756181398361048	0.939722904282261	0.988690752275804	C57BL6J_F1_Control-BALBcJ_F1_Control
Klhdc9	44.7825960884319	0.764568307497001	0.283214150250989	2.69961196084104	0.00694203930556011	0.0324836754467474	C57BL6J_F1_Control-BALBcJ_F1_Control
Wac	979.659024545503	-0.126556122599122	0.0678663091275638	-1.86478569744	0.0622114488653986	0.20042808795145	C57BL6J_F1_Control-BALBcJ_F1_Control
Tagln2	919.843094428072	0.195053165026854	0.0717213251546341	2.71959789652953	0.00653613442477508	0.030785021588606	C57BL6J_F1_Control-BALBcJ_F1_Control
Itpr3	579.586647465727	-0.209583096842899	0.103434173415532	-2.02624616142025	0.0427395653637566	0.147919286490378	C57BL6J_F1_Control-BALBcJ_F1_Control
Rab24	166.325701533547	0.301476892269164	0.138637007042835	2.17457732750978	0.0296618048723682	0.110661348946912	C57BL6J_F1_Control-BALBcJ_F1_Control
Gramd1a	1966.16729046042	-0.174559841654251	0.0561830621987393	-3.10698340074045	0.00189007011253484	0.0104200639537443	C57BL6J_F1_Control-BALBcJ_F1_Control
Picalm	9516.58313793838	-0.0821433143122284	0.0682278968625015	-1.20395495229423	0.228606990374644	0.519613988888282	C57BL6J_F1_Control-BALBcJ_F1_Control
Naa30	200.902625609256	0.04538191784868	0.120827290375915	0.375593276216729	0.707219290191886	0.945681830290118	C57BL6J_F1_Control-BALBcJ_F1_Control
Nenf	457.523518728133	-0.158914252997928	0.11643673241401	-1.36481202884397	0.172312137139046	0.434289508561822	C57BL6J_F1_Control-BALBcJ_F1_Control
Pggt1b	367.464204244685	0.17528288205172	0.125249057568186	1.39947465837254	0.161670692466733	0.413863134995083	C57BL6J_F1_Control-BALBcJ_F1_Control
Spata45	6.12700695829754	0.348990038022149	0.405873057861979	0.859850219821259	0.389871612121775	0.719408337226247	C57BL6J_F1_Control-BALBcJ_F1_Control
Pigm	1160.47860647642	-0.0671315988863136	0.0797961053748526	-0.841289165316454	0.400185958914441	0.731637946309204	C57BL6J_F1_Control-BALBcJ_F1_Control
Olfr99	27.1743955472395	-0.0653167672427417	0.311655231827826	-0.209580204573064	0.833995330979162	0.97629351436455	C57BL6J_F1_Control-BALBcJ_F1_Control
Sfn	34.0176312684038	0.630977795995865	0.2585666592324	2.44029063093065	0.0146754500016098	0.0617469988930569	C57BL6J_F1_Control-BALBcJ_F1_Control
Selenbp1	171.115578137657	-0.0457628093382256	0.156560579098617	-0.292300971302614	0.770056516235657	0.964461223333434	C57BL6J_F1_Control-BALBcJ_F1_Control
Mif4gd	336.770596626035	-0.00942017628243055	0.108200888036024	-0.0870619128310131	0.930622299547468	0.987477447807663	C57BL6J_F1_Control-BALBcJ_F1_Control
Zfp414	84.4517298946667	-0.272211933008545	0.166463332547738	-1.6352666310491	0.101993165526805	0.293331535585671	C57BL6J_F1_Control-BALBcJ_F1_Control
Myo9b	4590.20442563856	-0.0131515369190228	0.0549262138704932	-0.239440077738326	0.810764356092116	0.971563697500702	C57BL6J_F1_Control-BALBcJ_F1_Control
Rsad2	1440.87894344487	-0.465635385282137	0.082815740828552	-5.62254688086546	1.88162480374459e-08	2.0098664942379e-07	C57BL6J_F1_Control-BALBcJ_F1_Control
BC064078	32.0544551383955	-0.395496555329033	0.267726962318968	-1.47723842194811	0.139611737871234	0.372817356562395	C57BL6J_F1_Control-BALBcJ_F1_Control
Nudcd3	347.146721508606	-0.288938776385107	0.0966175096366451	-2.99054257837668	0.00278482302277473	0.0147197788346664	C57BL6J_F1_Control-BALBcJ_F1_Control
Cln8	569.907785679551	0.272128081087162	0.0802808690066775	3.38970024184127	0.000699690871263547	0.00430735941160355	C57BL6J_F1_Control-BALBcJ_F1_Control
C1qtnf12	73.0468220699917	-0.0472735100908939	0.207462261981222	-0.227865586923817	0.819750736615006	0.972644140629805	C57BL6J_F1_Control-BALBcJ_F1_Control
Tfpi	111.936735374642	0.256561414601704	0.166841925234581	1.53775146289505	0.124109395337973	0.341063261767218	C57BL6J_F1_Control-BALBcJ_F1_Control
Slc35d1	116.742147051995	0.301635653489958	0.181547727053166	1.66146752915075	0.0966195850925544	0.282864641884836	C57BL6J_F1_Control-BALBcJ_F1_Control
Tmem150b	91.2954004258879	0.0315902949353605	0.20748779175632	0.152251342924605	0.878988700140197	0.980622267459111	C57BL6J_F1_Control-BALBcJ_F1_Control
Nsmce1	241.890516529072	0.081926534960164	0.114508612763358	0.715461771678886	0.474323754593856	0.796979379792767	C57BL6J_F1_Control-BALBcJ_F1_Control
Krtcap2	212.594004475644	0.0124496863380504	0.122137965091987	0.10193133911044	0.918811174495738	0.987178192856608	C57BL6J_F1_Control-BALBcJ_F1_Control
Ccdc90b	141.653812091724	0.0476376869103526	0.151096569990172	0.315279737411982	0.752549268279044	0.957086932619947	C57BL6J_F1_Control-BALBcJ_F1_Control
Tlr12	1561.53382369551	0.217701804915373	0.0722055198074366	3.01502995194768	0.00256953879384147	0.0137233254927039	C57BL6J_F1_Control-BALBcJ_F1_Control
Efcc1	234.042047064391	-2.64776608345138	0.193701606210032	-13.669303705104	1.54869995961003e-42	6.69672789763905e-41	C57BL6J_F1_Control-BALBcJ_F1_Control
Agmo	340.420864354779	0.0715536732538389	0.104340389834239	0.685771572902047	0.492857164979266	0.809504653794519	C57BL6J_F1_Control-BALBcJ_F1_Control
Kcnj10	4321.16431124487	-1.07997569019731	0.116950619066967	-9.23445894355555	2.59594644492688e-20	5.54574511359677e-19	C57BL6J_F1_Control-BALBcJ_F1_Control
Ankrd11	733.5578381123	0.29021021243277	0.132696116014639	2.18702868741654	0.0287404298384822	0.108464145836291	C57BL6J_F1_Control-BALBcJ_F1_Control
Bmf	200.717135131075	0.30827614833394	0.131606100133684	2.34241534412764	0.0191593799502293	0.0769161237599252	C57BL6J_F1_Control-BALBcJ_F1_Control
Myom1	172.499866402204	0.545985082782086	0.158942898369026	3.43510209254171	0.00059233063148627	0.00372307291839619	C57BL6J_F1_Control-BALBcJ_F1_Control
Mcur1	2322.85937363354	-0.0244575304584058	0.0564557097313229	-0.433216242870759	0.664857679729436	0.932755169015137	C57BL6J_F1_Control-BALBcJ_F1_Control
Gba2	80.222761338361	0.136063937940462	0.174410666015172	0.780135418602358	0.435311170629638	0.76211306897062	C57BL6J_F1_Control-BALBcJ_F1_Control
Crnkl1	411.399587534599	-0.175338415450571	0.119056648449494	-1.47273098759329	0.140823587504901	0.374937578304963	C57BL6J_F1_Control-BALBcJ_F1_Control
A530010L16Rik	17.0169415868644	-1.48808574117735	0.332889057754433	-4.47021524593063	7.81409164015133e-06	6.35935938696216e-05	C57BL6J_F1_Control-BALBcJ_F1_Control
Ints1	701.556128981476	0.0619143250485034	0.0754423062395887	0.820684416140153	0.411826049698029	0.743545555778857	C57BL6J_F1_Control-BALBcJ_F1_Control
Ccng2	225.378729561866	0.0220748723904549	0.151180644266674	0.146016525445653	0.883908342828756	0.980632779725628	C57BL6J_F1_Control-BALBcJ_F1_Control
Ciapin1	108.199111620171	-0.686316917840918	0.178979595399453	-3.83460984091048	0.000125763762526843	0.000886770419860197	C57BL6J_F1_Control-BALBcJ_F1_Control
Trmt61b	56.9637405266278	0.368806449087281	0.241790467858685	1.52531426219346	0.12718073212793	0.346847756540381	C57BL6J_F1_Control-BALBcJ_F1_Control
Npm1	457.020813012421	-0.0284129979875483	0.106157275887534	-0.267650029166629	0.788968717676599	0.966964977378653	C57BL6J_F1_Control-BALBcJ_F1_Control
Wtap	157.674239090274	1.51039716190637	0.163952975165166	9.21238032054493	3.18971669799549e-20	6.7222586544425e-19	C57BL6J_F1_Control-BALBcJ_F1_Control
Raph1	559.313017061265	-0.161016091155424	0.133650704439968	-1.20475303014768	0.228298657320109	0.519613988888282	C57BL6J_F1_Control-BALBcJ_F1_Control
Pigo	183.23715891301	-0.181374236096418	0.123912782187146	-1.46372499184537	0.143269104102172	0.379275712483985	C57BL6J_F1_Control-BALBcJ_F1_Control
Dctn3	315.926730787201	0.0986800775666381	0.116248957515145	0.848868494616669	0.395954471517834	0.726954786754239	C57BL6J_F1_Control-BALBcJ_F1_Control
Nup37	35.0252788776183	-0.0144597656414549	0.238521533116509	-0.060622474845455	0.95165987410255	0.991151273405123	C57BL6J_F1_Control-BALBcJ_F1_Control
Dctn1	1572.98070118321	0.189488581962824	0.0760416243281466	2.49190602695588	0.0127059649538494	0.0550266425486299	C57BL6J_F1_Control-BALBcJ_F1_Control
Mfap1a	137.996837970737	0.136184435557751	0.153133804888687	0.889316605544698	0.37383294959787	0.70171885779642	C57BL6J_F1_Control-BALBcJ_F1_Control
Lima1	226.275432218022	0.204457964149619	0.117702470103334	1.73707454032289	0.0823740145843375	0.249907302065247	C57BL6J_F1_Control-BALBcJ_F1_Control
Gcdh	214.375540062681	0.053306640435294	0.134244883267356	0.397085081664759	0.691304720631087	0.943858754812665	C57BL6J_F1_Control-BALBcJ_F1_Control
Zfp84	308.720582937981	-0.274856688151622	0.115673469144592	-2.37614286304537	0.017494687824822	0.0715060357437736	C57BL6J_F1_Control-BALBcJ_F1_Control
Fgd2	3903.77791080528	0.197284714566733	0.0536531040771544	3.67704195237303	0.000235954246846055	0.0016099615816169	C57BL6J_F1_Control-BALBcJ_F1_Control
Wbp11	723.484322398065	-0.0185943366980349	0.068699574777337	-0.270661598100151	0.786651314926812	0.966084313339916	C57BL6J_F1_Control-BALBcJ_F1_Control
Ptcd2	267.745874602252	0.0248015809858671	0.111698272956622	0.222040863563743	0.824282072688488	0.974706400292629	C57BL6J_F1_Control-BALBcJ_F1_Control
Mmp24	123.056194057271	-0.267079144649193	0.161339493289496	-1.6553860384944	0.0978462162136676	0.285218484736804	C57BL6J_F1_Control-BALBcJ_F1_Control
Pabpn1	975.329747052277	-0.1166176423164	0.0759083487521278	-1.53629533817427	0.124465962346998	0.341259235189746	C57BL6J_F1_Control-BALBcJ_F1_Control
Spata2l	113.703443750174	0.195446204317786	0.171730549254643	1.13809805632181	0.25507953966181	0.55428909331423	C57BL6J_F1_Control-BALBcJ_F1_Control
Glb1	1113.43592092319	0.0714183571488464	0.107516506092106	0.664254817652506	0.506527233799443	0.818074289903539	C57BL6J_F1_Control-BALBcJ_F1_Control
Pkmyt1	105.129428009613	0.190223287740642	0.157026757655452	1.21140683652165	0.22573952053008	0.516366564169825	C57BL6J_F1_Control-BALBcJ_F1_Control
Csf2ra	7228.90871936537	-0.0290890040882594	0.0761479620120815	-0.382006337656734	0.702456663731803	0.944912683721632	C57BL6J_F1_Control-BALBcJ_F1_Control
Nelfe	77.298641725909	0.150135665954392	0.182321893428641	0.823464824388485	0.410243712535087	0.741745432890896	C57BL6J_F1_Control-BALBcJ_F1_Control
Zswim4	410.356031387189	-0.0207469111052019	0.127632711759847	-0.162551675186838	0.870871438410912	0.979791228837024	C57BL6J_F1_Control-BALBcJ_F1_Control
Kdm4a	331.272463924943	-0.112256474396906	0.102271131297368	-1.09763598948078	0.272363470993936	0.576358602618687	C57BL6J_F1_Control-BALBcJ_F1_Control
Nid2	434.516447175775	-0.0189632285280904	0.118717855079321	-0.159733584433615	0.873090944012883	0.979791228837024	C57BL6J_F1_Control-BALBcJ_F1_Control
H2-Q7	63.5314873346554	0.0922417005661407	0.213254239618474	0.432543337619768	0.665346561513227	0.932755169015137	C57BL6J_F1_Control-BALBcJ_F1_Control
Psma8	67.9600276583035	-0.220166044346674	0.187158943133823	-1.17635866424641	0.239451582347438	0.532790904553599	C57BL6J_F1_Control-BALBcJ_F1_Control
Tor1aip2	3047.5001692442	-0.0785869065509919	0.0577324674706242	-1.3612254939732	0.173442439931175	0.436831520640694	C57BL6J_F1_Control-BALBcJ_F1_Control
Trim12c	278.621668581264	-1.08318611569433	0.113979864994404	-9.50331109575817	2.03320383218949e-21	4.58941418473463e-20	C57BL6J_F1_Control-BALBcJ_F1_Control
Sphk2	180.293675183398	-0.0372006631962171	0.134662495716964	-0.276251104646138	0.782355207927087	0.966084313339916	C57BL6J_F1_Control-BALBcJ_F1_Control
Nprl2	204.17233882327	-0.255676399577262	0.130686548444183	-1.95640945928313	0.0504169387429404	0.168793277190684	C57BL6J_F1_Control-BALBcJ_F1_Control
